submission_id,company_name,revenue,countries,industry,requested_coverages
E001,Everstead Pharma Ltd,14608818,"[""Sweden"", ""Canada"", ""Singapore""]",Manufacturing,"[""Kidnap & Ransom"", ""Property""]"
E002,Crestline Textiles Ltd,38122777,"[""Spain"", ""Norway"", ""Belgium""]",Technology,"[""General Liability"", ""Property""]"
E003,Granite Analytics Ltd,7808428,"[""United States""]",Healthcare,"[""Technology E&O"", ""Professional Indemnity"", ""Directors & Officers""]"
E004,Highland Logistics Ltd,35958262,"[""United Arab Emirates"", ""United Kingdom""]",Fintech,"[""Professional Indemnity"", ""Product Liability"", ""Management Liability""]"
E005,Ironclad Trading Ltd,29626602,"[""Denmark""]",Retail,"[""Management Liability""]"
E006,Alder Engineering Ltd,42413185,"[""Japan"", ""Canada""]",Logistics,"[""Media Liability""]"
E007,Foxmere Technologies Ltd,546984,"[""Sweden"", ""Singapore"", ""United Kingdom""]",Construction,"[""Media Liability""]"
E008,Redwood Manufacturing Ltd,16614618,"[""France"", ""United Arab Emirates"", ""Singapore""]",Media,"[""Product Liability""]"
E009,Ivybridge Construction Ltd,37346694,"[""Spain""]",Life Sciences,"[""Directors & Officers"", ""Technology E&O"", ""General Liability""]"
E010,Eastwick Group Ltd,45526148,"[""Switzerland"", ""Denmark"", ""Japan""]",Professional Services,"[""General Liability""]"
E011,Lakeside Transport Ltd,1861585,"[""United Arab Emirates"", ""Australia"", ""Japan""]",Hospitality,"[""Professional Indemnity""]"
E012,Ashbourne Consulting Ltd,2558087,"[""France"", ""Japan""]",Education,"[""Management Liability""]"
E013,Oakmere Resources Ltd,9329297,"[""Singapore"", ""Australia"", ""United Arab Emirates""]",Energy,"[""General Liability"", ""Professional Indemnity""]"
E014,Cedarwood UK Ltd,28875880,"[""Denmark"", ""Germany""]",Retail,"[""Professional Indemnity"", ""Cyber"", ""Technology E&O""]"
E015,Thornbury Energy Ltd,13307392,"[""United Arab Emirates""]",Real Estate,"[""Property"", ""Technology E&O""]"
E016,Sterling Compliance Ltd,17214226,"[""Denmark""]",Manufacturing,"[""Professional Indemnity"", ""Cyber"", ""Product Liability""]"
E017,Clearwater Finance Ltd,27723985,"[""Singapore"", ""Canada""]",Technology,"[""Cyber"", ""Property""]"
E018,Dunmore Biotech Ltd,18247475,"[""Italy"", ""Norway""]",Healthcare,"[""Product Liability"", ""Kidnap & Ransom"", ""Property""]"
E019,Pemberton Capital Ltd,4374747,"[""United Arab Emirates"", ""Germany"", ""Sweden""]",Fintech,"[""Cyber""]"
E020,Northbridge Innovations Ltd,11015131,"[""Japan""]",Retail,"[""Property""]"
E021,Yorkton Design Ltd,45762747,"[""Belgium""]",Logistics,"[""Directors & Officers""]"
E022,Pinehurst Europe Ltd,42015989,"[""Norway""]",Construction,"[""Directors & Officers"", ""Product Liability"", ""Media Liability""]"
E023,Norwood Networks Ltd,16467943,"[""Belgium"", ""Netherlands""]",Media,"[""Management Liability"", ""Kidnap & Ransom"", ""Media Liability""]"
E024,Delta Labs Ltd,42135291,"[""Ireland""]",Life Sciences,"[""Management Liability"", ""Property"", ""Media Liability""]"
E025,Valebrook Foods Ltd,19575180,"[""Denmark""]",Professional Services,"[""Management Liability"", ""Product Liability"", ""Cyber""]"
E026,Kestrel Credit Ltd,18198007,"[""Ireland""]",Hospitality,"[""Product Liability"", ""Property"", ""Management Liability""]"
E027,Hawthorne Media Ltd,23460306,"[""Spain""]",Education,"[""Kidnap & Ransom"", ""Management Liability"", ""Cyber""]"
